DATE,MST,Global CM22 Vent [W/m^2],Deck Dry Bulb Temp [deg C],Deck RH [%],Station Pressure [mBar],Precipitable Water Vapor [cm],500nm Aerosol Optical Depth
7/17/2011,00:49,-1.2169,21.98,46.32,821.05,0,0
7/17/2011,00:50,-1.2169,21.95,45.88,821.05,0,0
7/17/2011,00:51,-1.2169,21.93,45.79,821.05,0,0
7/17/2011,00:52,-1.3082,21.91,45.81,821.05,0,0
7/17/2011,00:53,-1.3842,21.89,45.88,821.05,0,0
7/17/2011,00:54,-1.4755,21.87,45.46,821.05,0,0
7/17/2011,00:55,-1.5212,21.85,45.2,821.03,0,0
7/17/2011,00:56,-1.5212,21.83,45.27,821.03,0,0
7/17/2011,00:57,-1.5212,21.82,45.35,821.04,0,0
7/17/2011,00:58,-1.5212,21.82,45.49,821.03,0,0
7/17/2011,00:59,-1.5211,21.82,45.54,821.03,0,0
7/17/2011,01:00,-1.5212,21.82,46.13,821.05,0,0
7/17/2011,01:01,-1.4755,21.83,47.05,821.05,0,0
7/17/2011,01:02,-1.2397,21.83,47.63,821.05,0,0
7/17/2011,01:03,-1.2169,21.8,47.71,821.05,0,0
7/17/2011,01:04,-1.1485,21.76,47.7,821.04,0,0
7/17/2011,01:05,-1.0496,21.73,47.76,821.01,0,0
7/17/2011,01:06,-1.0344,21.71,47.51,820.99,0,0
7/17/2011,01:07,-1.0344,21.69,47.58,820.99,0,0
7/17/2011,01:08,-.95833,21.68,47.83,820.98,0,0
7/17/2011,01:09,-.93551,21.66,47.91,820.98,0,0
7/17/2011,01:10,-.9127,21.65,48.33,821.01,0,0
7/17/2011,01:11,-.92791,21.63,48.37,821.02,0,0
7/17/2011,01:12,-.95833,21.62,49.03,821.03,0,0
7/17/2011,01:13,-.92791,21.6,48.27,821.05,0,0
7/17/2011,01:14,-1.0344,21.6,48.47,821.05,0,0
7/17/2011,01:15,-1.0572,21.61,49.13,821.05,0,0
7/17/2011,01:16,-1.0268,21.6,49.71,821.05,0,0
7/17/2011,01:17,-.92791,21.54,50.55,821.05,0,0
7/17/2011,01:18,-.92031,21.48,49.21,821.05,0,0
7/17/2011,01:19,-1.0648,21.49,49.21,821.05,0,0
7/17/2011,01:20,-1.0952,21.51,49.42,821.07,0,0
7/17/2011,01:21,-1.1028,21.5,49.5,821.05,0,0
7/17/2011,01:22,-1.0496,21.42,50.7,821.05,0,0
7/17/2011,01:23,-.95833,21.29,51.53,821.05,0,0
7/17/2011,01:24,-.91269,21.14,54.34,821.05,0,0
7/17/2011,01:25,-.85945,20.94,57.19,821.05,0,0
7/17/2011,01:26,-.64649,20.69,59.22,821.05,0,0
7/17/2011,01:27,-.60846,20.46,60.28,821.05,0,0
7/17/2011,01:28,-.60846,20.28,60.51,821.05,0,0
7/17/2011,01:29,-.60846,20.19,59.38,821.05,0,0
7/17/2011,01:30,-.60846,20.17,59.08,821.06,0,0
7/17/2011,01:31,-.64649,20.16,60.14,821.12,0,0
7/17/2011,01:32,-.60846,20.05,60.45,821.14,0,0
7/17/2011,01:33,-.61606,19.92,59,821.17,0,0
7/17/2011,01:34,-.79859,19.9,58.36,821.17,0,0
7/17/2011,01:35,-.91268,19.92,58.72,821.17,0,0
7/17/2011,01:36,-.91268,19.93,58.38,821.18,0,0
7/17/2011,01:37,-.91268,19.94,57.29,821.21,0,0
7/17/2011,01:38,-.98112,19.95,56.75,821.27,0,0
7/17/2011,01:39,-1.1332,19.97,56.2,821.28,0,0
7/17/2011,01:40,-1.2169,20.02,56.5,821.29,0,0
7/17/2011,01:41,-1.2169,20.04,56.6,821.29,0,0
7/17/2011,01:42,-1.2169,20.04,57.64,821.29,0,0
7/17/2011,01:43,-1.2169,20.01,56.47,821.3,0,0
7/17/2011,01:44,-1.2169,20.01,55.42,821.31,0,0
7/17/2011,01:45,-1.2777,20.06,55.25,821.33,0,0
7/17/2011,01:46,-1.3538,20.1,55.36,821.34,0,0
7/17/2011,01:47,-1.3614,20.12,55.97,821.33,0,0
7/17/2011,01:48,-1.3462,20.11,56.64,821.33,0,0
7/17/2011,01:49,-1.2701,20.1,56.83,821.34,0,0
7/17/2011,01:50,-1.2169,20.05,57.27,821.36,0,0
7/17/2011,01:51,-1.2169,20.01,57.77,821.37,0,0
7/17/2011,01:52,-1.2245,19.99,57.88,821.37,0,0
7/17/2011,01:53,-1.2777,19.99,57.75,821.4,0,0
7/17/2011,01:54,-1.3766,20,57.44,821.41,0,0
7/17/2011,01:55,-1.4907,20.02,57.25,821.41,0,0
7/17/2011,01:56,-1.5211,20.05,57.33,821.41,0,0
7/17/2011,01:57,-1.5211,20.06,57.89,821.42,0,0
7/17/2011,01:58,-1.4451,20.05,57.75,821.42,0,0
7/17/2011,01:59,-1.3614,20.02,57.72,821.42,0,0
7/17/2011,02:00,-1.3006,19.99,57.56,821.44,0,0
7/17/2011,02:01,-1.2321,19.96,57.57,821.43,0,0
7/17/2011,02:02,-1.2778,19.93,56.81,821.43,0,0
7/17/2011,02:03,-1.3614,19.92,56.39,821.44,0,0
7/17/2011,02:04,-1.369,19.93,56.47,821.42,0,0
7/17/2011,02:05,-1.369,19.92,56.09,821.42,0,0
7/17/2011,02:06,-1.369,19.92,55.78,821.42,0,0
7/17/2011,02:07,-1.3919,19.93,55.96,821.41,0,0
7/17/2011,02:08,-1.4071,19.92,56.12,821.41,0,0
7/17/2011,02:09,-1.3766,19.92,56.37,821.41,0,0
7/17/2011,02:10,-1.3766,19.91,56.32,821.41,0,0
7/17/2011,02:11,-1.3766,19.91,56.57,821.42,0,0
7/17/2011,02:12,-1.3462,19.9,56.73,821.41,0,0
7/17/2011,02:13,-1.3538,19.89,56.32,821.41,0,0
7/17/2011,02:14,-1.3538,19.89,56.17,821.43,0,0
7/17/2011,02:15,-1.3614,19.88,55.54,821.43,0,0
7/17/2011,02:16,-1.3995,19.89,55.28,821.42,0,0
7/17/2011,02:17,-1.4983,19.9,54.76,821.44,0,0
7/17/2011,02:18,-1.5212,19.93,54.34,821.45,0,0
7/17/2011,02:19,-1.5212,19.98,54.14,821.47,0,0
7/17/2011,02:20,-1.5212,20.01,54.2,821.48,0,0
7/17/2011,02:21,-1.5212,20.04,54.17,821.49,0,0
7/17/2011,02:22,-1.5212,20.05,54.07,821.45,0,0
7/17/2011,02:23,-1.5212,20.06,53.78,821.43,0,0
7/17/2011,02:24,-1.5212,20.07,53.9,821.44,0,0
7/17/2011,02:25,-1.5212,20.07,53.81,821.42,0,0
7/17/2011,02:26,-1.5136,20.07,53.65,821.44,0,0
7/17/2011,02:27,-1.4451,20.07,53.61,821.42,0,0
7/17/2011,02:28,-1.4223,20.08,53.64,821.44,0,0
7/17/2011,02:29,-1.4071,20.07,53.54,821.45,0,0
7/17/2011,02:30,-1.4983,20.08,53.22,821.44,0,0
7/17/2011,02:31,-1.5211,20.1,53.28,821.47,0,0
7/17/2011,02:32,-1.5211,20.11,53.18,821.49,0,0
7/17/2011,02:33,-1.5211,20.12,53.31,821.51,0,0
7/17/2011,02:34,-1.5211,20.13,53.24,821.51,0,0
7/17/2011,02:35,-1.5135,20.14,53.12,821.52,0,0
7/17/2011,02:36,-1.4527,20.14,53.14,821.53,0,0
7/17/2011,02:37,-1.3766,20.14,53.24,821.5,0,0
7/17/2011,02:38,-1.369,20.13,53.13,821.5,0,0
7/17/2011,02:39,-1.369,20.12,53,821.5,0,0
7/17/2011,02:40,-1.369,20.12,53.13,821.46,0,0
7/17/2011,02:41,-1.3158,20.11,53.32,821.47,0,0
7/17/2011,02:42,-1.3234,20.1,53.33,821.44,0,0
7/17/2011,02:43,-1.2321,20.09,53.35,821.43,0,0
7/17/2011,02:44,-1.2245,20.07,53.47,821.45,0,0
7/17/2011,02:45,-1.2169,20.05,53.43,821.44,0,0
7/17/2011,02:46,-1.2169,20.03,53.68,821.46,0,0
7/17/2011,02:47,-1.2169,20.01,53.72,821.49,0,0
7/17/2011,02:48,-1.2169,19.99,53.69,821.52,0,0
7/17/2011,02:49,-1.2854,19.97,53.28,821.52,0,0
7/17/2011,02:50,-1.369,19.96,53.37,821.53,0,0
7/17/2011,02:51,-1.369,19.96,53.72,821.54,0,0
7/17/2011,02:52,-1.369,19.95,53.79,821.54,0,0
7/17/2011,02:53,-1.369,19.94,53.53,821.55,0,0
7/17/2011,02:54,-1.369,19.94,53.95,821.55,0,0
7/17/2011,02:55,-1.3614,19.92,53.95,821.54,0,0
7/17/2011,02:56,-1.3614,19.92,53.51,821.53,0,0
7/17/2011,02:57,-1.369,19.92,53.44,821.5,0,0
7/17/2011,02:58,-1.3918,19.92,53.72,821.48,0,0
7/17/2011,02:59,-1.369,19.92,53.98,821.44,0,0
7/17/2011,03:00,-1.4755,19.92,53.41,821.44,0,0
7/17/2011,03:01,-1.5211,19.93,53.23,821.44,0,0
7/17/2011,03:02,-1.5211,19.94,53.41,821.43,0,0
7/17/2011,03:03,-1.5212,19.96,53.01,821.43,0,0
7/17/2011,03:04,-1.5212,19.97,52.72,821.43,0,0
7/17/2011,03:05,-1.5212,20,52.85,821.42,0,0
7/17/2011,03:06,-1.5211,20.02,52.6,821.43,0,0
7/17/2011,03:07,-1.5211,20.03,52.75,821.45,0,0
7/17/2011,03:08,-1.5211,20.04,52.7,821.49,0,0
7/17/2011,03:09,-1.4907,20.04,53.04,821.49,0,0
7/17/2011,03:10,-1.3766,20.03,52.94,821.51,0,0
7/17/2011,03:11,-1.3234,20.01,53.14,821.54,0,0
7/17/2011,03:12,-1.2169,19.99,53.86,821.53,0,0
7/17/2011,03:13,-1.2169,19.95,53.82,821.52,0,0
7/17/2011,03:14,-1.2093,19.92,53.57,821.46,0,0
7/17/2011,03:15,-1.2169,19.87,53.44,821.46,0,0
7/17/2011,03:16,-1.2169,19.85,53.25,821.44,0,0
7/17/2011,03:17,-1.2169,19.83,53.37,821.45,0,0
7/17/2011,03:18,-1.2169,19.82,53.8,821.45,0,0
7/17/2011,03:19,-1.2169,19.8,54.25,821.5,0,0
7/17/2011,03:20,-1.2093,19.75,54.55,821.48,0,0
7/17/2011,03:21,-1.2017,19.71,54.36,821.49,0,0
7/17/2011,03:22,-1.2169,19.68,54.23,821.52,0,0
7/17/2011,03:23,-1.2169,19.66,54.4,821.51,0,0
7/17/2011,03:24,-1.2169,19.64,54.58,821.52,0,0
7/17/2011,03:25,-1.2169,19.63,54.8,821.5,0,0
7/17/2011,03:26,-1.2169,19.61,54.66,821.52,0,0
7/17/2011,03:27,-1.2169,19.6,54.49,821.54,0,0
7/17/2011,03:28,-1.2473,19.6,54.23,821.53,0,0
7/17/2011,03:29,-1.3386,19.61,54.29,821.55,0,0
7/17/2011,03:30,-1.369,19.62,54.26,821.55,0,0
7/17/2011,03:31,-1.4603,19.63,53.89,821.56,0,0
7/17/2011,03:32,-1.5135,19.66,54.04,821.6,0,0
7/17/2011,03:33,-1.5211,19.67,54.03,821.64,0,0
7/17/2011,03:34,-1.5211,19.68,53.84,821.65,0,0
7/17/2011,03:35,-1.5211,19.7,53.85,821.67,0,0
7/17/2011,03:36,-1.5211,19.71,53.83,821.67,0,0
7/17/2011,03:37,-1.4755,19.71,54.07,821.67,0,0
7/17/2011,03:38,-1.3842,19.7,53.63,821.68,0,0
7/17/2011,03:39,-1.4983,19.71,53.35,821.67,0,0
7/17/2011,03:40,-1.5211,19.72,53.81,821.67,0,0
7/17/2011,03:41,-1.4983,19.73,53.2,821.67,0,0
7/17/2011,03:42,-1.5211,19.74,53.39,821.67,0,0
7/17/2011,03:43,-1.5211,19.76,53.25,821.67,0,0
7/17/2011,03:44,-1.5211,19.77,53.11,821.67,0,0
7/17/2011,03:45,-1.5211,19.78,52.94,821.68,0,0
7/17/2011,03:46,-1.5211,19.8,52.79,821.67,0,0
7/17/2011,03:47,-1.5211,19.83,52.58,821.67,0,0
7/17/2011,03:48,-1.5211,19.85,52.65,821.67,0,0
7/17/2011,03:49,-1.5211,19.87,52.51,821.66,0,0
7/17/2011,03:50,-1.5211,19.89,52.63,821.64,0,0
7/17/2011,03:51,-1.5211,19.9,52.77,821.63,0,0
7/17/2011,03:52,-1.5135,19.89,52.76,821.64,0,0
7/17/2011,03:53,-1.4679,19.89,52.66,821.63,0,0
7/17/2011,03:54,-1.5135,19.88,52.25,821.63,0,0
7/17/2011,03:55,-1.5211,19.9,52.13,821.65,0,0
7/17/2011,03:56,-1.5211,19.92,52.18,821.65,0,0
7/17/2011,03:57,-1.5211,19.93,52.02,821.66,0,0
7/17/2011,03:58,-1.5211,19.95,52.17,821.67,0,0
7/17/2011,03:59,-1.5135,19.95,52.23,821.67,0,0
7/17/2011,04:00,-1.4451,19.95,52.1,821.67,0,0
7/17/2011,04:01,-1.407,19.94,51.96,821.67,0,0
7/17/2011,04:02,-1.3842,19.94,52.12,821.67,0,0
7/17/2011,04:03,-1.369,19.93,51.89,821.68,0,0
7/17/2011,04:04,-1.369,19.94,52.08,821.67,0,0
7/17/2011,04:05,-1.3386,19.93,52.05,821.68,0,0
7/17/2011,04:06,-1.2854,19.93,52.06,821.69,0,0
7/17/2011,04:07,-1.3006,19.92,52.08,821.71,0,0
7/17/2011,04:08,-1.2854,19.91,52.13,821.71,0,0
7/17/2011,04:09,-1.2854,19.91,52.03,821.7,0,0
7/17/2011,04:10,-1.3082,19.92,52.08,821.71,0,0
7/17/2011,04:11,-1.331,19.92,51.96,821.67,0,0
7/17/2011,04:12,-1.3538,19.93,51.9,821.67,0,0
7/17/2011,04:13,-1.3386,19.94,52.06,821.67,0,0
7/17/2011,04:14,-1.293,19.94,52.03,821.67,0,0
7/17/2011,04:15,-1.2397,19.95,51.84,821.67,0,0
7/17/2011,04:16,-1.2169,19.95,51.91,821.67,0,0
7/17/2011,04:17,-1.2169,19.96,52.15,821.69,0,0
7/17/2011,04:18,-1.2169,19.95,52.2,821.71,0,0
7/17/2011,04:19,-1.2169,19.94,52.23,821.73,0,0
7/17/2011,04:20,-1.1332,19.93,52.37,821.77,0,0
7/17/2011,04:21,-1.0648,19.92,52.24,821.78,0,0
7/17/2011,04:22,-1.0572,19.91,52.31,821.79,0,0
7/17/2011,04:23,-.95832,19.91,52.34,821.79,0,0
7/17/2011,04:24,-.91268,19.91,52.15,821.79,0,0
7/17/2011,04:25,-.92029,19.91,52.21,821.78,0,0
7/17/2011,04:26,-.91269,19.92,52.45,821.78,0,0
7/17/2011,04:27,-.91268,19.91,52.34,821.77,0,0
7/17/2011,04:28,-.91268,19.92,52.35,821.76,0,0
7/17/2011,04:29,-.91268,19.92,52.18,821.76,0,0
7/17/2011,04:30,-.91269,19.94,51.97,821.78,0,0
7/17/2011,04:31,-.91269,19.95,52.23,821.78,0,0
7/17/2011,04:32,-.791,19.95,52.2,821.79,0,0
7/17/2011,04:33,-.61607,19.96,51.79,821.78,0,0
7/17/2011,04:34,-.60846,19.97,52.02,821.79,0,0
7/17/2011,04:35,-.58564,19.98,51.98,821.79,0,0
7/17/2011,04:36,-.38789,19.99,51.98,821.81,0,0
7/17/2011,04:37,-.24338,20,52.12,821.88,0,0
7/17/2011,04:38,-.03042,20,51.85,821.9,0,0
7/17/2011,04:39,.17493,20.02,51.81,821.92,0,0
7/17/2011,04:40,.3955,20.03,51.8,821.92,0,0
7/17/2011,04:41,.76057,20.04,51.91,821.92,0,0
7/17/2011,04:42,1.1409,20.05,51.54,821.91,0,0
7/17/2011,04:43,1.5288,20.07,51.63,821.91,0,0
7/17/2011,04:44,1.9014,20.08,51.62,821.91,0,0
7/17/2011,04:45,2.2133,20.09,51.67,821.92,0,0
7/17/2011,04:46,2.5783,20.1,51.45,821.92,0,0
7/17/2011,04:47,2.9358,20.11,51.45,821.91,0,0
7/17/2011,04:48,3.4226,20.12,51.48,821.91,0,0
7/17/2011,04:49,4.0158,20.13,51.55,821.9,-6999,0.49728
7/17/2011,04:50,4.8981,20.13,51.33,821.89,-6999,0.52317
7/17/2011,04:51,5.9249,20.13,51.2,821.87,-6999,0.55064
7/17/2011,04:52,6.9136,20.14,51.35,821.88,-6999,0.18279
7/17/2011,04:53,7.8034,20.14,51.31,821.88,-6999,0.10049
7/17/2011,04:54,8.6248,20.14,51.2,821.91,-6999,0.10385
7/17/2011,04:55,9.4843,20.14,51.45,821.92,-6999,0.10606
7/17/2011,04:56,10.283,20.14,51.36,821.89,-6999,0.11079
7/17/2011,04:57,10.853,20.13,51.45,821.9,-6999,0.12095
7/17/2011,04:58,11.774,20.12,51.31,821.92,-6999,0.12718
7/17/2011,04:59,13.318,20.12,51.29,821.92,-6999,0.11938
7/17/2011,05:00,15.014,20.12,51.41,821.92,-6999,0.11138
7/17/2011,05:01,16.405,20.12,51.21,821.92,-6999,0.10958
7/17/2011,05:02,18.102,20.12,51.26,821.91,-6999,0.10468
7/17/2011,05:03,19.623,20.12,51.43,821.91,-6999,0.10347
7/17/2011,05:04,21.121,20.11,51.51,821.91,-6999,0.10406
7/17/2011,05:05,22.612,20.11,51.27,821.92,-6999,0.10444
7/17/2011,05:06,24.133,20.12,51.13,821.92,-6999,0.10415
7/17/2011,05:07,25.753,20.14,50.7,821.91,-6999,0.10388
7/17/2011,05:08,27.069,20.17,50.56,821.91,-6999,0.10787
7/17/2011,05:09,27.373,20.21,50.47,821.91,-6999,0.12203
7/17/2011,05:10,26.506,20.24,50.67,821.91,-6999,0.14980
7/17/2011,05:11,27.594,20.26,50.76,821.92,-6999,0.16122
7/17/2011,05:12,25.114,20.28,50.5,821.92,-6999,0.23681
7/17/2011,05:13,27.571,20.29,50.71,821.92,-6999,0.21824
7/17/2011,05:14,29.32,20.3,50.73,821.92,-6999,0.22118
7/17/2011,05:15,35.26,20.29,51.1,821.91,-6999,0.17173
7/17/2011,05:16,37.131,20.27,50.95,821.91,-6999,0.18002
7/17/2011,05:17,47.558,20.26,50.9,821.91,-6999,0.12631
7/17/2011,05:18,50.989,20.26,51.22,821.91,-6999,0.12475
7/17/2011,05:19,46.98,20.25,51.26,821.89,-6999,0.16489
7/17/2011,05:20,40.615,20.26,51.24,821.9,-6999,0.26855
7/17/2011,05:21,39.436,20.24,51.3,821.89,-6999,0.40512
7/17/2011,05:22,46.509,20.23,51.55,821.89,-6999,0.27024
7/17/2011,05:23,55.165,20.21,51.54,821.86,-6999,0.20450
7/17/2011,05:24,59.949,20.21,51.31,821.9,-6999,0.19462
7/17/2011,05:25,74.993,20.21,51.56,821.9,-6999,0.13438
7/17/2011,05:26,79.868,20.22,51.71,821.9,5.44226,0.13170
7/17/2011,05:27,83.777,20.23,51.36,821.9,5.40098,0.13319
7/17/2011,05:28,86.736,20.25,51.41,821.91,5.34756,0.13708
7/17/2011,05:29,90.599,20.28,51.17,821.91,5.28031,0.13691
7/17/2011,05:30,94.85,20.32,50.81,821.91,5.21458,0.13499
7/17/2011,05:31,98.578,20.37,50.38,821.91,5.15722,0.13565
7/17/2011,05:32,102.46,20.43,50.13,821.91,5.09937,0.13666
7/17/2011,05:33,106.31,20.5,50.05,821.91,5.05397,0.13753
7/17/2011,05:34,110.5,20.56,49.79,821.91,5.00427,0.13765
7/17/2011,05:35,114.97,20.63,50.01,821.91,4.96325,0.13752
7/17/2011,05:36,118.59,20.69,49.81,821.9,4.90033,0.13846
7/17/2011,05:37,122.14,20.74,50.09,821.88,4.86827,0.13983
7/17/2011,05:38,126.02,20.8,49.7,821.9,4.83760,0.14106
7/17/2011,05:39,130.03,20.85,49.94,821.91,4.78420,0.14148
7/17/2011,05:40,133.93,20.91,49.87,821.91,4.75561,0.14119
7/17/2011,05:41,137.59,20.97,50,821.91,4.73259,0.14124
7/17/2011,05:42,141.13,21.02,49.78,821.91,4.68879,0.14174
7/17/2011,05:43,144.84,21.08,49.93,821.91,4.64966,0.14314
7/17/2011,05:44,148.96,21.14,49.87,821.91,4.59023,0.14374
7/17/2011,05:45,153.87,21.2,50.13,821.91,4.55430,0.14291
7/17/2011,05:46,158.09,21.25,50,821.91,4.52709,0.14313
7/17/2011,05:47,162.34,21.29,49.79,821.92,4.48897,0.14269
7/17/2011,05:48,165.86,21.34,49.17,821.96,4.47161,0.14307
7/17/2011,05:49,169.3,21.39,48.52,821.99,4.43587,0.14438
7/17/2011,05:50,173.49,21.46,48.78,822.01,4.40218,0.14533
7/17/2011,05:51,178.21,21.53,49.14,822.03,4.36533,0.14581
7/17/2011,05:52,183.85,21.6,48.97,822.02,4.32476,0.14545
7/17/2011,05:53,188.2,21.68,48.04,822.03,4.30488,0.14516
7/17/2011,05:54,191.32,21.76,47.75,822.03,4.26763,0.14573
7/17/2011,05:55,194.57,21.84,47.35,822.03,4.24157,0.14555
7/17/2011,05:56,196.87,21.94,46.75,822.03,4.20264,0.14641
7/17/2011,05:57,199.56,22.04,45.98,822.03,4.16469,0.14634
7/17/2011,05:58,201.64,22.13,47.08,822.03,4.12034,0.14788
7/17/2011,05:59,204.08,22.21,47.09,822.03,4.08190,0.14851
7/17/2011,06:00,207.23,22.28,47.5,822.03,4.05340,0.14853
7/17/2011,06:01,209.61,22.37,47.65,822.02,4.01800,0.14999
7/17/2011,06:02,201.42,22.45,46.91,822.03,4.00167,0.17282
7/17/2011,06:03,210.53,22.53,46.37,822.03,3.93644,0.15519
7/17/2011,06:04,214.37,22.61,45.09,822.03,3.93086,0.15021
7/17/2011,06:05,215.92,22.68,46.03,822.03,3.91273,0.14998
7/17/2011,06:06,218.65,22.78,47.08,822.03,3.89270,0.14820
7/17/2011,06:07,221.01,22.88,45.02,822.02,3.83939,0.14735
7/17/2011,06:08,215.96,23,45.5,822.03,3.83504,0.16059
7/17/2011,06:09,222.41,23.11,46.35,822.02,3.80946,0.15120
7/17/2011,06:10,224.87,23.22,44.91,822.03,3.78661,0.15101
7/17/2011,06:11,221.28,23.31,44.08,822.03,3.77382,0.16263
7/17/2011,06:12,231.42,23.39,43.52,822.03,3.74956,0.15173
7/17/2011,06:13,234.54,23.44,43.25,822.03,3.73524,0.15142
7/17/2011,06:14,236.72,23.48,42.17,822.02,3.71600,0.15248
7/17/2011,06:15,238.92,23.55,41.89,822.03,3.67522,0.15281
7/17/2011,06:16,241.11,23.64,42.69,822.03,3.65699,0.15274
7/17/2011,06:17,243.6,23.72,42.19,822.02,3.63696,0.15344
7/17/2011,06:18,247.55,23.82,42.74,822.02,3.60161,0.15357
7/17/2011,06:19,253.09,23.9,43.3,822.03,3.55690,0.15344
7/17/2011,06:20,258.76,23.91,43.43,822.03,3.53401,0.15407
7/17/2011,06:21,263.91,23.84,43.03,822.03,3.52408,0.15439
7/17/2011,06:22,267.69,23.83,43.35,822.03,3.49379,0.15441
7/17/2011,06:23,270.18,23.85,42.23,822.03,3.47864,0.15447
7/17/2011,06:24,272.17,23.9,42.39,822.02,3.47398,0.15478
7/17/2011,06:25,274.7,23.97,42.81,822.03,3.44983,0.15505
7/17/2011,06:26,277.2,24.01,41.94,822.03,3.43857,0.15610
7/17/2011,06:27,280.47,24.05,41.64,822.02,3.42997,0.15699
7/17/2011,06:28,284.48,24.12,42.35,822.03,3.43371,0.15810
7/17/2011,06:29,289.3,24.19,40.88,822.02,3.41328,0.15889
7/17/2011,06:30,294.17,24.26,41.04,822.03,3.38599,0.15927
7/17/2011,06:31,298.78,24.3,41.71,822,3.35734,0.15937
7/17/2011,06:32,303.26,24.31,41.67,822.03,3.33174,0.15966
7/17/2011,06:33,308.25,24.32,41.34,822.03,3.31208,0.15973
7/17/2011,06:34,313.07,24.34,41.48,822.02,3.28460,0.16041
7/17/2011,06:35,319.52,24.33,41.4,822.03,3.27114,0.15993
7/17/2011,06:36,326.24,24.32,41.28,822.03,3.24955,0.16128
7/17/2011,06:37,333.2,24.33,41.09,822.03,3.23042,0.16222
7/17/2011,06:38,340.48,24.37,41.63,822.03,3.20647,0.16223
7/17/2011,06:39,346.62,24.43,41.61,822.03,3.19209,0.16253
7/17/2011,06:40,353.18,24.46,42.51,822.03,3.18503,0.16207
7/17/2011,06:41,359.85,24.5,42.89,822.04,3.16669,0.16198
7/17/2011,06:42,366.5,24.55,42.33,822.03,3.13089,0.16269
7/17/2011,06:43,373.97,24.62,41.87,822.11,3.10468,0.16353
7/17/2011,06:44,381.14,24.71,41.04,822.13,3.09712,0.16372
7/17/2011,06:45,387.36,24.81,41.74,822.13,3.07373,0.16364
7/17/2011,06:46,394.3,24.9,39.77,822.15,3.05170,0.16316
7/17/2011,06:47,401.16,24.99,39.61,822.15,3.02004,0.16337
